data,regiao,categoria,vendedor,unidades,receita,desconto_pct,satisfacao
2025-01-06,Sudeste,Eletronicos,Ana,6,29250.6,5,4.07
2025-01-13,Sul,Acessorios,Bruno,105,16610.65,12,4.4
2025-01-20,Nordeste,Moveis,Carla,13,20561.03,12,4.06
2025-01-27,Norte,Eletronicos,Diego,17,68016.87,10,4.57
2025-02-03,Centro-Oeste,Acessorios,Elena,92,11364.24,5,4.76
2025-02-10,Sudeste,Moveis,Ana,57,101665.29,8,4.04
2025-02-17,Sul,Eletronicos,Bruno,29,104935.91,12,4.73
2025-02-24,Nordeste,Acessorios,Carla,15,2057.01,10,4.39
2025-03-03,Norte,Moveis,Diego,50,82145.85,8,4.48
2025-03-10,Centro-Oeste,Eletronicos,Elena,50,208731.72,8,4.53
2025-03-17,Sudeste,Acessorios,Ana,129,19705.38,8,3.91
2025-03-24,Sul,Moveis,Bruno,127,214763.98,5,4.21
2025-03-31,Nordeste,Eletronicos,Carla,49,249950.54,12,4.51
2025-04-07,Norte,Acessorios,Diego,85,13038.17,10,3.98
2025-04-14,Centro-Oeste,Moveis,Elena,99,168646.95,8,4.04
2025-04-21,Sudeste,Eletronicos,Ana,54,242133.18,8,4.7
2025-04-28,Sul,Acessorios,Bruno,19,2449.83,15,4.84
2025-05-05,Nordeste,Moveis,Carla,101,206029.11,15,4.77
2025-05-12,Norte,Eletronicos,Diego,21,104452.68,12,4.62
2025-05-19,Centro-Oeste,Acessorios,Elena,92,14603.18,8,4.44
2025-05-26,Sudeste,Moveis,Ana,28,55830.18,0,3.9
2025-06-02,Sul,Eletronicos,Bruno,14,84637.46,10,4.67
2025-06-09,Nordeste,Acessorios,Carla,63,10767.0,12,4.9
2025-06-16,Norte,Moveis,Diego,88,189359.18,15,3.81
2025-06-23,Centro-Oeste,Eletronicos,Elena,39,200784.95,8,4.65
2025-06-30,Sudeste,Acessorios,Ana,70,10087.67,15,3.8
2025-07-07,Sul,Moveis,Bruno,46,98660.17,12,4.64
2025-07-14,Nordeste,Eletronicos,Carla,60,308366.46,12,4.73
2025-07-21,Norte,Acessorios,Diego,30,4257.17,12,3.98
2025-07-28,Centro-Oeste,Moveis,Elena,94,179774.74,8,3.82
2025-08-04,Sudeste,Eletronicos,Ana,58,305866.16,5,4.06
2025-08-11,Sul,Acessorios,Bruno,22,3165.28,0,4.33
2025-08-18,Nordeste,Moveis,Carla,85,180241.67,10,3.94
2025-08-25,Norte,Eletronicos,Diego,15,72323.68,10,4.76
2025-09-01,Centro-Oeste,Acessorios,Elena,85,14339.28,15,4.56
2025-09-08,Sudeste,Moveis,Ana,103,176492.56,12,4.28
